label,N,P,K,temperature,humidity,ph,rainfall
pigeonpeas,28.83,70.07,14.71,23.11,56.05,6.63,154.44
pigeonpeas,38.3,73.13,26.51,23.88,66.95,5.81,134.67
pigeonpeas,22.74,86.65,23.28,23.33,61.25,6.28,189.32
pigeonpeas,20.71,65.88,18.15,20.05,60.3,5.89,164.79
pigeonpeas,44.16,65.17,18.32,24.24,59.94,5.77,137.38
pigeonpeas,36.34,71.03,11.82,21.55,62.51,6.16,134.76
pigeonpeas,28.98,68.11,22.94,21.28,50.8,6.11,148.0
pigeonpeas,33.43,58.16,21.43,26.18,57.43,6.06,148.08
pigeonpeas,24.99,67.42,25.04,23.76,50.55,5.8,154.02
pigeonpeas,27.76,71.88,22.09,25.78,62.12,6.4,131.32
pigeonpeas,24.58,67.39,18.2,21.72,52.79,5.81,136.56
pigeonpeas,28.11,77.43,20.8,28.94,55.85,5.88,150.08
pigeonpeas,31.54,71.48,28.31,22.31,59.3,6.08,118.58
pigeonpeas,34.62,78.14,16.57,23.98,46.37,5.5,170.96
pigeonpeas,27.2,59.13,20.92,22.96,52.65,6.3,126.77
pigeonpeas,24.57,69.23,23.88,26.48,51.67,6.37,134.32
pigeonpeas,40.96,58.93,25.31,22.69,65.07,6.24,129.68
pigeonpeas,26.87,74.25,24.21,23.86,55.22,6.3,152.64
pigeonpeas,22.24,61.5,20.94,26.43,63.08,6.31,155.75
pigeonpeas,34.49,62.67,19.39,22.35,48.76,6.13,153.71
pigeonpeas,34.13,72.37,20.97,25.11,54.79,6.17,135.48
pigeonpeas,32.22,73.35,17.32,24.1,51.88,5.79,127.5
pigeonpeas,37.59,76.53,22.15,27.94,54.05,7.21,145.45
pigeonpeas,31.53,64.82,21.49,25.67,54.43,6.71,154.78
pigeonpeas,31.62,60.73,21.67,23.73,51.96,5.69,203.44
pigeonpeas,28.42,56.34,17.21,23.9,57.73,6.22,163.53
pigeonpeas,26.13,70.72,16.5,22.76,50.41,5.52,171.28
pigeonpeas,34.13,75.81,20.16,25.55,46.19,6.35,153.54
pigeonpeas,33.76,71.04,16.05,21.0,51.44,6.23,163.8
pigeonpeas,21.79,60.15,17.11,23.29,48.19,5.43,133.56
pigeonpeas,30.52,58.56,19.54,26.12,48.49,5.92,170.5
pigeonpeas,27.49,63.41,24.65,23.39,60.52,6.17,143.14
pigeonpeas,32.88,70.56,24.08,22.9,55.21,5.98,164.08
pigeonpeas,23.85,76.14,21.87,21.37,61.04,6.89,170.04
pigeonpeas,38.56,68.68,13.35,20.31,56.28,5.76,131.71
pigeonpeas,29.62,72.92,14.19,23.1,62.55,5.57,167.4
pigeonpeas,27.09,72.37,24.39,25.48,59.55,5.54,172.27
pigeonpeas,24.88,70.08,21.03,24.97,56.68,5.66,123.0
pigeonpeas,35.23,69.49,24.6,23.91,47.97,6.39,142.59
pigeonpeas,32.05,62.82,26.58,22.25,53.31,6.04,128.16
pigeonpeas,31.98,80.9,18.04,24.79,41.25,5.98,143.74
pigeonpeas,25.09,76.65,18.7,23.65,53.11,5.23,127.36
pigeonpeas,35.77,51.12,16.93,23.2,63.72,6.31,138.86
pigeonpeas,37.83,62.08,24.04,21.28,60.37,5.84,129.43
pigeonpeas,28.7,70.22,18.02,25.11,52.09,6.25,158.84
pigeonpeas,29.63,64.47,20.61,25.1,65.31,6.38,169.52
pigeonpeas,48.53,72.13,21.94,25.41,49.96,5.82,139.88
pigeonpeas,33.89,66.61,20.55,26.17,59.32,5.94,136.6
pigeonpeas,36.81,74.19,13.57,23.37,55.83,6.31,168.2
pigeonpeas,31.7,72.68,20.26,22.65,53.69,6.01,149.31
pigeonpeas,18.69,64.82,20.22,23.44,53.77,6.2,128.42
pigeonpeas,20.23,65.21,23.06,27.38,58.91,5.41,145.35
pigeonpeas,31.54,69.42,22.16,22.17,55.32,6.17,166.51
pigeonpeas,25.17,65.24,9.18,22.76,52.38,5.59,153.31
pigeonpeas,29.66,49.93,20.86,22.14,57.43,5.49,150.6
pigeonpeas,28.3,70.42,20.5,23.49,47.32,5.41,138.32
pigeonpeas,29.95,63.13,22.5,23.44,50.17,5.89,154.52
pigeonpeas,31.95,83.03,17.32,23.85,57.13,5.99,139.99
pigeonpeas,20.7,63.91,15.71,20.55,51.02,5.58,161.68
pigeonpeas,33.61,60.77,18.96,20.28,52.53,6.16,166.5
pigeonpeas,25.72,76.41,13.94,21.5,58.55,6.67,159.87
pigeonpeas,29.76,50.44,11.91,24.26,53.21,5.56,151.31
pigeonpeas,30.69,75.56,20.55,26.46,55.04,5.95,171.29
pigeonpeas,24.13,90.52,21.5,24.76,57.63,6.75,165.85
pigeonpeas,20.37,79.23,18.64,24.21,48.6,6.21,136.97
pigeonpeas,30.6,65.73,27.7,27.96,55.23,6.03,142.53
pigeonpeas,36.64,65.37,18.31,25.96,52.31,5.98,118.37
pigeonpeas,34.23,83.53,22.88,26.92,50.77,6.09,131.14
pigeonpeas,28.63,74.18,20.41,21.17,48.42,5.45,159.83
pigeonpeas,42.38,78.9,12.42,26.84,59.68,5.38,143.94
pigeonpeas,36.57,72.4,14.76,25.22,44.31,5.91,172.76
pigeonpeas,30.11,64.01,23.56,25.95,61.55,6.35,171.63
pigeonpeas,34.4,70.12,20.36,23.53,48.94,5.62,144.36
pigeonpeas,31.45,79.53,19.83,26.01,60.4,5.91,161.89
mothbeans,23.78,70.58,22.54,25.62,55.81,7.16,58.19
mothbeans,27.24,64.37,15.85,29.02,48.03,6.25,70.76
mothbeans,26.78,57.56,21.79,27.88,55.06,6.76,52.73
mothbeans,25.2,57.5,13.66,26.16,62.84,6.65,46.76
mothbeans,17.3,59.1,26.24,27.63,61.53,6.64,64.71
mothbeans,18.32,67.5,18.66,29.73,50.93,6.57,63.52
mothbeans,24.23,63.24,18.93,26.7,63.03,6.92,52.39
mothbeans,27.84,54.06,15.26,30.07,46.48,6.87,57.47
mothbeans,23.94,63.28,22.32,26.35,58.59,6.55,47.44
mothbeans,24.15,71.05,26.71,29.43,49.05,6.7,68.51
mothbeans,28.63,66.28,21.45,27.86,51.96,5.74,63.4
mothbeans,25.93,64.46,14.65,29.29,65.27,6.53,59.38
mothbeans,26.55,76.26,15.91,28.41,51.0,6.28,59.5
mothbeans,31.74,74.41,21.79,27.25,67.46,6.33,54.29
mothbeans,16.13,71.17,23.87,32.84,48.05,7.08,60.7
mothbeans,29.03,46.82,25.87,29.57,54.81,6.76,52.35
mothbeans,22.1,56.29,12.59,29.72,60.96,6.22,63.48
mothbeans,23.67,62.63,17.49,26.23,60.26,6.47,80.22
mothbeans,25.23,52.59,24.91,29.26,58.63,6.98,53.47
mothbeans,24.36,58.63,14.84,27.47,61.68,6.59,46.54
mothbeans,17.22,73.32,19.64,26.71,53.63,5.91,74.23
mothbeans,23.03,70.94,20.21,30.86,56.28,6.84,67.19
mothbeans,28.12,62.78,19.07,31.83,50.47,6.5,60.15
mothbeans,27.01,56.56,21.26,27.66,47.09,6.5,48.99
mothbeans,16.33,61.09,21.95,29.05,57.84,5.73,46.39
mothbeans,34.87,51.62,22.44,26.63,55.4,6.25,65.62
mothbeans,25.68,56.41,15.8,28.54,48.94,6.67,86.26
mothbeans,31.75,65.75,19.66,24.12,48.39,7.01,52.1
mothbeans,21.5,58.67,15.75,25.55,54.75,6.14,52.59
mothbeans,21.09,64.18,19.07,27.64,57.98,6.44,57.22
mothbeans,27.35,65.35,19.41,28.16,51.09,6.16,67.69
mothbeans,27.22,63.64,21.12,28.09,58.48,6.87,69.11
mothbeans,24.5,71.1,20.91,29.26,56.41,6.6,52.64
mothbeans,28.51,82.76,18.5,28.14,52.77,6.3,75.44
mothbeans,21.64,56.21,13.65,26.48,46.46,6.75,88.0
mothbeans,23.17,46.67,23.6,26.55,61.5,6.39,53.68
mothbeans,24.11,66.06,19.09,27.01,54.01,5.99,63.97
mothbeans,16.07,56.45,23.04,28.61,57.95,6.47,71.7
mothbeans,29.62,63.57,23.71,29.5,52.8,5.96,64.2
mothbeans,27.73,68.72,16.25,26.19,57.3,6.47,41.14
mothbeans,26.88,45.18,16.22,30.7,64.12,6.01,56.71
mothbeans,25.21,74.25,18.03,27.05,62.74,6.35,67.22
mothbeans,17.61,58.63,13.36,25.89,59.2,6.48,56.81
mothbeans,21.26,58.23,21.2,29.97,41.87,6.17,61.59
mothbeans,24.51,63.23,21.07,27.39,52.37,6.4,71.49
mothbeans,21.34,59.5,20.73,31.12,53.5,6.88,72.32
mothbeans,24.68,58.31,18.68,27.49,59.27,6.59,62.35
mothbeans,19.37,52.26,28.57,27.64,51.13,7.07,62.82
mothbeans,27.89,58.9,18.73,27.66,48.09,6.46,62.96
mothbeans,34.25,60.69,10.66,27.81,68.7,6.85,51.89
mothbeans,27.96,54.06,14.58,27.3,55.46,5.75,48.51
mothbeans,25.05,56.73,21.58,25.57,58.57,6.03,76.43
mothbeans,16.42,51.26,21.67,31.33,56.58,6.73,60.18
mothbeans,19.87,56.08,15.15,25.44,57.01,6.05,63.2
mothbeans,18.49,62.37,18.05,30.81,56.62,6.99,52.44
mothbeans,25.28,52.15,18.35,27.48,51.37,6.01,45.86
mothbeans,13.3,51.55,22.51,24.8,48.16,7.22,53.64
mothbeans,26.61,65.14,22.65,24.96,53.84,5.85,84.46
mothbeans,17.03,51.62,15.84,25.01,61.76,7.47,55.24
mothbeans,18.4,42.1,19.02,27.37,51.74,6.59,63.95
mothbeans,26.62,57.47,15.59,29.33,55.06,6.86,67.9
mothbeans,17.89,48.53,16.98,25.89,58.78,6.64,70.99
mothbeans,26.98,61.67,24.8,28.94,55.34,7.09,61.15
mothbeans,23.48,53.3,22.81,30.47,54.75,7.02,40.3
mothbeans,24.72,59.68,17.09,32.77,54.67,6.34,60.26
mothbeans,14.99,53.92,23.93,26.74,50.86,7.02,73.4
mothbeans,27.58,56.36,19.04,26.39,50.03,6.08,53.82
mothbeans,19.83,47.49,20.88,28.47,63.5,6.23,62.96
mothbeans,26.56,57.97,22.98,29.55,56.64,6.4,56.42
mothbeans,18.16,53.55,17.51,25.75,57.2,6.98,50.92
mothbeans,26.42,51.73,18.78,26.62,58.01,6.23,70.12
mothbeans,23.77,54.8,14.99,28.51,59.48,6.61,82.39
mothbeans,32.15,57.54,18.73,28.94,50.81,6.97,63.62
mothbeans,26.28,65.5,26.89,28.34,54.43,7.1,69.68
mothbeans,23.4,60.04,20.78,28.72,48.22,5.88,51.13
mothbeans,20.18,54.85,22.54,27.66,55.98,6.01,55.38
mothbeans,27.94,64.76,17.1,28.32,65.99,6.49,53.07
mothbeans,24.13,60.74,19.4,27.94,47.78,6.11,58.51
mothbeans,24.17,55.47,19.29,28.12,59.45,6.46,63.99
mothbeans,22.29,64.58,21.5,29.73,58.57,6.74,59.02
mothbeans,26.22,68.51,17.39,26.74,55.91,6.67,51.76
mothbeans,24.63,59.25,11.14,27.56,54.21,6.44,74.16
mothbeans,18.92,53.4,9.55,27.04,53.02,6.3,71.08
mothbeans,29.3,60.62,18.52,30.05,54.9,6.17,42.84
mothbeans,22.79,66.04,29.11,28.12,51.17,6.03,65.52
mothbeans,16.18,64.4,23.27,28.87,53.9,6.73,61.71
mothbeans,21.11,74.8,18.59,29.55,42.91,7.01,74.69
mothbeans,25.15,64.47,22.23,26.71,57.74,6.18,53.91
mothbeans,30.63,67.8,17.17,26.53,51.77,6.79,50.0
mothbeans,26.78,65.97,19.65,30.02,53.48,6.41,50.23
mothbeans,30.09,53.87,21.4,27.86,49.74,6.26,73.83
mothbeans,26.01,51.93,21.22,27.71,72.27,6.61,56.19
mothbeans,32.1,45.27,20.38,31.99,54.42,5.81,56.04
mothbeans,32.27,63.01,16.64,26.63,52.2,6.64,73.38
mothbeans,30.26,63.65,14.67,25.34,57.67,5.96,57.74
mothbeans,26.52,50.9,15.9,27.81,57.52,6.92,66.07
mothbeans,25.37,54.03,15.72,26.98,57.05,6.63,39.0
mothbeans,21.07,69.64,20.32,25.17,66.78,6.49,63.84
mothbeans,27.0,57.06,17.09,32.24,60.02,6.83,65.76
mothbeans,19.98,70.22,16.63,28.57,46.8,5.68,63.18
mungbean,20.95,44.09,22.16,32.24,66.95,6.4,90.11
mungbean,29.44,68.98,18.63,28.07,61.5,6.72,88.4
mungbean,24.4,71.04,24.84,28.95,68.6,6.35,109.48
mungbean,27.71,86.17,15.23,26.62,62.09,6.66,113.4
mungbean,21.66,67.24,24.65,29.41,55.2,7.06,104.75
mungbean,28.0,61.63,20.9,27.84,63.2,6.51,79.82
mungbean,19.76,53.98,20.89,27.95,61.08,6.7,82.47
mungbean,32.33,57.86,18.27,28.96,50.82,6.18,101.77
mungbean,16.31,68.94,26.04,27.26,61.46,6.95,84.4
mungbean,29.34,54.63,18.09,26.4,61.71,6.96,87.79
mungbean,18.64,51.34,21.58,31.69,61.97,6.35,99.19
mungbean,23.8,56.97,16.17,30.82,47.3,6.82,84.44
mungbean,22.95,73.54,17.14,26.64,59.35,6.67,84.7
mungbean,17.13,53.07,25.13,28.15,62.26,6.4,82.09
mungbean,33.39,58.49,18.23,30.19,56.39,6.26,90.12
mungbean,25.0,62.08,28.37,28.67,48.11,6.63,90.45
mungbean,25.22,61.97,19.89,27.89,63.07,6.28,78.63
mungbean,40.12,54.27,20.4,25.01,60.58,6.13,84.69
mungbean,30.23,63.78,22.27,24.46,69.18,6.02,108.34
mungbean,30.11,64.62,16.58,28.3,57.65,6.51,87.0
mungbean,14.81,68.97,19.68,27.03,57.2,6.64,79.27
mungbean,13.72,63.26,22.08,27.6,54.26,6.54,72.43
mungbean,19.86,53.99,23.38,27.27,57.76,7.28,94.23
mungbean,26.69,57.04,17.61,23.63,64.84,6.68,87.85
mungbean,24.31,65.89,13.78,26.82,54.32,7.21,100.51
mungbean,13.99,47.89,19.47,27.06,53.38,7.28,93.75
mungbean,27.37,54.46,22.89,27.24,58.58,6.74,70.45
mungbean,32.99,61.46,25.12,25.85,55.38,6.04,93.0
mungbean,25.33,56.28,15.94,25.47,59.76,6.31,81.77
mungbean,32.74,59.34,25.08,26.93,61.22,6.48,69.63
mungbean,32.14,58.92,22.99,26.5,59.18,6.15,104.83
mungbean,26.56,62.94,25.43,30.31,63.83,5.93,81.65
mungbean,19.98,65.82,20.68,25.22,59.06,5.9,89.36
mungbean,16.72,64.23,21.51,31.82,64.24,6.33,99.82
mungbean,18.01,52.3,21.33,23.68,59.81,6.09,91.22
mungbean,19.61,63.39,20.08,30.8,60.03,6.19,87.04
mungbean,18.28,63.25,22.36,32.94,56.89,6.39,83.09
mungbean,26.06,63.05,19.79,30.17,56.92,6.89,96.46
mungbean,24.94,57.48,29.71,26.37,61.49,6.2,111.43
mungbean,29.43,54.57,22.05,28.52,57.42,6.8,94.67
mungbean,26.08,59.66,21.72,28.46,60.3,6.24,110.33
mungbean,19.75,63.42,18.72,31.52,55.48,6.21,78.36
mungbean,26.62,49.02,18.09,23.7,61.2,6.3,72.14
mungbean,30.43,49.54,23.19,26.6,68.01,6.8,77.9
mungbean,20.41,64.84,18.95,27.66,66.36,6.2,91.1
mungbean,29.77,66.47,19.36,27.42,51.31,6.08,93.82
mungbean,24.31,60.6,24.16,25.63,58.82,6.58,81.55
mungbean,32.16,67.27,21.16,31.59,52.51,6.5,94.4
mungbean,20.43,62.41,15.57,29.38,65.29,6.61,67.77
mungbean,20.17,64.52,20.08,22.61,66.21,6.55,80.17
mungbean,29.97,54.58,17.25,28.72,68.91,7.15,94.32
mungbean,27.31,66.33,14.97,29.29,56.33,6.63,87.27
mungbean,27.51,60.94,7.71,28.36,63.21,6.68,88.77
mungbean,33.21,62.49,21.75,30.09,61.81,6.14,60.74
mungbean,22.61,66.09,18.59,29.6,60.74,7.02,86.46
mungbean,27.34,64.05,26.01,24.59,57.71,6.84,108.55
mungbean,26.2,57.66,23.03,29.74,58.2,6.63,104.17
mungbean,34.45,65.94,20.18,27.89,62.79,6.45,92.28
mungbean,19.71,70.38,15.44,27.14,60.49,7.3,84.93
mungbean,21.67,55.59,26.64,22.38,54.99,7.59,97.09
mungbean,19.47,59.66,20.27,29.69,69.2,6.66,83.52
mungbean,28.94,54.41,15.87,24.48,52.17,6.14,75.87
mungbean,26.57,50.4,7.43,25.91,57.64,6.26,108.23
mungbean,21.93,67.05,19.92,27.92,55.82,6.48,80.82
mungbean,25.85,58.11,16.22,29.98,62.13,6.32,91.75
mungbean,24.58,53.06,20.28,26.76,55.28,5.85,85.7
mungbean,27.83,54.44,30.08,29.77,66.52,6.82,112.23
mungbean,21.06,39.51,18.22,29.12,60.76,6.61,105.85
mungbean,26.91,66.39,16.24,25.81,68.07,6.54,82.52
mungbean,21.89,54.81,17.16,25.43,52.5,6.42,82.88
mungbean,30.54,62.34,21.06,26.51,59.39,6.64,98.59
mungbean,24.53,68.63,20.03,29.59,57.55,5.77,93.22
mungbean,28.63,64.6,21.69,27.3,55.97,6.72,95.12
mungbean,22.2,68.88,16.47,26.83,68.18,6.85,85.7
mungbean,26.44,61.24,9.02,26.19,59.75,6.36,92.97
mungbean,30.65,57.43,15.77,28.65,58.37,6.44,86.5
mungbean,36.21,42.07,18.45,27.99,56.09,6.86,99.76
mungbean,24.76,57.83,19.55,27.79,59.61,6.42,93.03
mungbean,28.77,50.16,15.8,24.5,64.33,6.6,96.06
mungbean,17.85,74.28,17.56,28.34,64.27,6.11,83.44
mungbean,25.9,82.86,21.2,31.21,66.03,6.65,78.13
mungbean,30.3,48.02,26.4,28.4,46.75,6.36,97.85
mungbean,23.81,65.72,16.6,25.39,59.64,6.51,85.82
mungbean,31.14,53.2,21.25,28.14,52.22,5.97,90.14
mungbean,34.91,64.63,13.1,21.78,63.67,6.46,103.7
mungbean,20.6,62.8,23.38,27.11,57.87,6.51,96.51
mungbean,24.93,67.79,18.15,25.34,69.88,6.26,83.18
mungbean,24.67,60.54,18.45,27.97,59.8,6.57,61.71
mungbean,34.4,58.82,22.32,25.24,57.64,6.23,107.64
mungbean,22.07,66.06,17.4,27.09,58.77,7.01,67.32
mungbean,18.42,44.42,15.65,26.38,51.93,6.21,65.82
mungbean,19.91,69.6,21.61,28.37,54.99,5.89,76.33
mungbean,24.78,66.95,23.61,29.26,56.31,6.51,86.14
mungbean,23.99,76.3,12.95,27.53,66.06,5.91,82.28
mungbean,22.35,58.21,13.62,29.19,63.33,6.7,79.56
mungbean,25.43,52.8,18.67,32.31,60.48,6.02,92.16
mungbean,18.24,50.41,15.84,27.11,64.68,6.73,96.28
mungbean,19.51,55.67,21.09,26.74,58.61,6.68,85.81
mungbean,26.13,72.74,19.31,30.36,62.8,5.91,76.77
mungbean,20.83,53.16,19.64,29.23,66.28,6.62,84.65
blackgram,14.59,60.56,20.1,28.37,75.53,7.0,111.78
blackgram,20.19,55.9,19.62,26.45,67.5,6.64,83.68
blackgram,30.98,60.82,13.08,27.9,66.41,6.89,94.94
blackgram,29.14,61.5,14.74,25.17,70.61,6.98,104.84
blackgram,32.48,68.45,22.73,26.18,73.66,6.71,94.21
blackgram,21.66,62.05,13.32,29.4,60.23,6.65,92.18
blackgram,23.68,53.94,19.36,31.78,71.93,6.64,99.62
blackgram,29.22,69.04,16.68,27.85,55.89,6.95,130.98
blackgram,25.4,43.0,22.44,26.19,61.68,6.75,103.82
blackgram,22.56,54.8,20.5,27.18,59.45,6.37,105.09
blackgram,24.11,48.69,23.96,22.52,62.77,6.25,102.22
blackgram,27.81,69.01,17.15,29.17,65.98,5.82,128.51
blackgram,17.81,63.36,21.56,28.55,62.53,6.83,76.59
blackgram,24.67,55.49,17.29,28.86,70.39,6.36,111.71
blackgram,25.25,52.86,18.97,27.4,61.52,6.67,103.52
blackgram,17.05,46.79,21.7,26.37,66.51,6.81,80.94
blackgram,17.94,73.4,21.41,27.16,60.33,6.3,82.14
blackgram,29.42,53.79,24.37,27.2,59.78,6.33,60.64
blackgram,24.4,58.64,23.3,24.23,70.81,6.83,118.78
blackgram,24.74,68.11,14.12,29.43,61.14,5.84,83.14
blackgram,25.03,53.41,21.5,24.38,54.36,7.05,113.56
blackgram,19.75,59.98,24.08,28.84,65.74,6.94,89.04
blackgram,25.16,59.86,18.91,27.22,65.36,6.51,84.27
blackgram,29.01,52.19,19.13,27.41,66.79,5.65,113.36
blackgram,21.62,69.76,18.09,27.9,74.57,6.39,118.58
blackgram,25.2,63.32,20.28,29.7,61.57,6.11,90.42
blackgram,25.5,58.23,22.84,30.61,60.12,6.21,78.46
blackgram,35.15,62.44,21.92,25.32,64.99,6.7,96.21
blackgram,30.38,78.49,16.21,25.96,60.61,7.14,115.64
blackgram,24.32,60.29,16.73,29.78,63.1,6.4,109.13
blackgram,24.06,58.12,20.04,29.59,73.23,6.73,112.05
blackgram,24.0,54.34,22.62,28.34,57.89,6.37,98.76
blackgram,22.45,71.85,21.92,30.75,66.32,6.53,85.95
blackgram,25.06,60.1,14.53,26.92,63.38,6.67,106.92
blackgram,22.09,63.75,19.27,22.26,62.58,6.93,74.77
blackgram,25.56,72.68,16.96,28.0,58.48,7.15,98.75
blackgram,25.23,70.83,22.65,26.25,61.76,6.7,90.64
blackgram,14.41,59.57,14.08,31.23,65.88,6.14,89.52
blackgram,15.55,51.2,24.07,32.46,68.63,6.46,93.52
blackgram,20.22,76.48,19.25,32.23,71.97,5.8,90.01
blackgram,21.65,59.36,19.76,33.99,59.61,6.59,109.25
blackgram,24.99,60.88,15.82,28.21,67.56,6.63,108.55
blackgram,32.06,67.5,20.29,25.66,62.0,6.41,103.79
blackgram,22.61,52.51,15.25,24.7,63.83,5.91,84.99
blackgram,23.03,49.31,21.52,29.48,62.25,6.33,108.06
blackgram,21.43,53.74,24.79,29.77,68.01,6.87,70.34
blackgram,31.77,63.14,24.04,28.77,65.24,6.39,105.51
blackgram,23.44,66.94,13.65,26.92,75.22,6.25,96.42
blackgram,20.59,62.69,17.05,27.63,69.24,6.22,111.83
blackgram,29.11,68.44,20.56,34.48,70.27,6.63,86.86
blackgram,24.51,71.41,26.84,30.96,68.93,6.0,107.31
blackgram,18.79,48.1,20.96,29.05,69.52,6.7,107.97
blackgram,20.08,59.16,13.97,23.99,68.7,6.2,113.09
blackgram,30.54,55.05,22.36,26.68,55.77,6.55,92.94
blackgram,22.8,75.8,13.9,28.77,60.03,6.86,104.48
blackgram,26.9,52.44,16.94,29.85,73.85,6.69,86.54
blackgram,26.69,79.42,20.41,30.92,61.3,6.48,109.29
blackgram,26.99,53.87,16.76,29.98,70.96,7.1,127.06
blackgram,25.67,57.51,25.4,29.43,60.09,6.09,107.38
blackgram,24.11,59.79,24.29,29.52,71.65,5.73,103.8
blackgram,28.47,47.79,17.38,26.32,65.11,7.15,130.34
blackgram,20.93,64.21,22.24,28.78,66.99,6.62,125.31
blackgram,30.51,51.52,23.18,29.78,66.57,6.95,102.82
blackgram,26.0,60.97,11.93,27.84,61.66,6.03,121.51
blackgram,27.52,59.76,17.74,28.59,69.96,6.17,99.93
blackgram,29.34,44.51,19.77,27.14,64.33,6.3,102.06
blackgram,34.62,57.41,21.17,31.99,62.25,7.23,100.08
blackgram,33.91,66.0,21.23,27.87,61.88,6.53,113.46
blackgram,24.93,57.47,19.0,29.98,71.13,6.23,89.97
blackgram,26.9,72.22,24.58,25.5,63.68,6.13,95.99
blackgram,33.02,48.62,13.52,26.34,66.44,6.75,106.56
blackgram,30.88,45.9,24.75,27.38,68.66,5.97,100.07
blackgram,26.18,69.25,13.66,28.06,59.57,6.7,111.66
blackgram,31.44,55.72,23.71,30.72,56.78,6.74,114.38
blackgram,23.71,50.31,23.77,25.6,64.11,6.48,110.73
blackgram,21.87,54.52,20.4,30.01,76.44,5.9,104.73
blackgram,19.57,68.15,16.25,26.65,62.05,6.47,104.85
blackgram,27.42,59.95,14.68,29.46,64.74,6.96,89.38
blackgram,16.99,59.73,25.18,28.32,64.0,6.15,126.37
blackgram,19.85,54.2,22.28,24.29,71.37,6.75,113.49
blackgram,27.79,58.71,15.75,27.72,60.12,6.69,112.1
blackgram,32.38,62.97,23.7,27.41,62.61,6.69,94.2
blackgram,26.35,51.51,16.47,29.27,69.43,6.11,110.06
blackgram,22.34,60.13,25.67,29.61,68.98,7.26,89.44
blackgram,20.07,54.22,18.98,23.29,63.96,6.28,111.76
blackgram,26.76,55.19,22.36,29.45,61.16,6.3,66.62
blackgram,19.55,54.06,20.3,26.11,62.43,6.01,102.57
blackgram,27.13,63.22,20.05,24.92,61.9,6.34,93.95
blackgram,25.37,71.4,23.25,26.02,68.39,6.76,87.91
blackgram,29.24,58.72,14.36,28.91,66.08,6.41,99.44
blackgram,21.4,64.88,19.83,28.33,66.79,6.04,86.59
blackgram,13.95,64.52,15.15,28.27,66.85,6.74,81.94
blackgram,24.67,73.36,26.86,29.97,66.69,6.1,110.78
blackgram,24.21,64.48,17.47,27.65,65.82,6.6,107.41
blackgram,22.1,49.25,26.5,32.98,67.24,5.97,88.4
blackgram,27.55,70.73,15.15,27.75,65.98,6.85,94.85
blackgram,17.18,64.97,24.5,27.83,67.03,6.31,87.31
blackgram,30.13,63.1,21.96,31.0,59.73,6.28,102.37
blackgram,22.18,66.27,19.25,26.01,65.33,6.57,114.02
blackgram,26.97,63.69,21.28,27.62,61.42,6.62,95.0
lentil,33.45,75.74,22.53,24.76,64.56,6.0,96.76
lentil,25.51,66.84,21.88,25.84,61.54,6.23,121.76
lentil,28.85,61.87,19.57,23.79,65.16,6.69,138.02
lentil,25.95,70.3,13.25,23.03,71.14,6.66,34.16
lentil,28.37,80.35,12.02,27.04,51.14,6.88,99.87
lentil,13.25,68.57,24.6,24.73,67.92,6.34,72.08
lentil,28.46,79.0,24.52,20.02,57.43,6.16,76.11
lentil,25.22,68.15,14.28,25.55,68.01,6.28,97.41
lentil,15.25,62.34,20.03,24.34,66.89,6.6,96.03
lentil,26.43,73.02,19.62,24.64,64.07,6.24,107.84
lentil,22.22,68.09,20.11,23.39,63.36,6.3,75.31
lentil,26.91,66.85,23.4,22.94,74.48,6.35,86.87
lentil,20.03,51.13,26.13,26.74,68.0,6.14,127.17
lentil,23.24,62.85,25.75,25.32,76.01,6.6,94.04
lentil,21.94,50.22,18.89,26.29,67.99,6.51,85.08
lentil,26.13,73.1,21.72,24.33,61.02,6.85,53.02
lentil,26.91,85.56,13.97,23.52,64.96,6.31,115.55
lentil,27.36,66.22,23.19,24.03,80.9,6.56,102.93
lentil,16.45,60.65,24.59,21.33,54.21,6.51,120.56
lentil,25.21,62.31,12.57,24.9,68.31,5.79,117.02
lentil,28.83,74.06,22.33,25.31,67.6,6.85,72.72
lentil,17.49,59.11,19.48,24.78,66.62,6.95,117.23
lentil,20.64,66.91,16.61,23.62,66.61,5.14,136.17
lentil,27.83,60.23,27.71,23.31,65.66,6.31,124.78
lentil,24.48,66.2,24.82,25.17,64.73,6.94,138.08
lentil,26.59,65.93,20.68,26.62,62.0,6.39,76.94
lentil,19.08,60.86,19.78,27.54,67.68,6.14,89.08
lentil,31.87,74.01,20.11,23.11,70.62,6.1,105.88
lentil,36.36,66.64,16.9,24.82,62.65,5.94,110.52
lentil,30.59,62.51,18.49,22.08,64.25,6.28,84.83
lentil,34.46,68.73,22.29,25.77,68.86,6.33,104.09
lentil,23.65,68.51,21.37,23.23,58.35,6.56,96.94
lentil,15.55,69.06,23.86,29.06,63.04,6.28,83.36
lentil,26.04,66.62,16.75,23.65,55.11,6.87,88.44
lentil,24.83,53.59,17.67,23.44,64.94,6.69,121.59
lentil,28.66,72.7,25.78,25.14,64.82,6.9,116.1
lentil,28.24,53.36,16.63,23.45,68.9,6.49,117.05
lentil,31.58,74.59,24.82,21.93,67.41,6.26,75.26
lentil,23.56,75.6,21.84,28.04,65.89,7.48,102.66
lentil,25.11,54.76,24.44,23.0,61.76,7.01,117.37
lentil,30.66,62.1,19.8,23.88,68.91,7.12,105.52
